"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"04.09.2020","75,4087","75,2680","75,6511","74,9388","0,19%"
"03.09.2020","75,2680","75,4015","75,8090","74,8830","-0,18%"
"02.09.2020","75,4015","73,5765","75,6753","73,5764","2,48%"
"01.09.2020","73,5765","74,0718","74,0750","73,3758","-0,67%"
"31.08.2020","74,0718","74,0056","74,5090","73,6446","0,09%"
"28.08.2020","74,0056","74,9588","74,9664","74,0056","-1,27%"
"27.08.2020","74,9588","75,3995","75,4953","74,7514","-0,58%"
"26.08.2020","75,3995","75,3312","75,9876","75,3238","0,09%"
"25.08.2020","75,3312","74,6401","75,7063","74,3321","0,93%"
"24.08.2020","74,6401","74,7995","74,8000","74,1743","-0,21%"
"21.08.2020","74,7995","73,7823","75,0010","73,7327","1,38%"
"20.08.2020","73,7823","73,2920","74,1804","73,2920","0,67%"
"19.08.2020","73,2920","73,1634","73,5428","73,0525","0,18%"
"18.08.2020","73,1634","73,7015","73,7017","72,9474","-0,73%"
"17.08.2020","73,7015","72,8558","73,7964","72,8002","1,16%"
"14.08.2020","72,8558","72,9555","73,4779","72,8112","-0,14%"
"13.08.2020","72,9555","73,7116","73,7597","72,9248","-1,03%"
"12.08.2020","73,7116","73,1506","73,8008","73,0127","0,77%"
"11.08.2020","73,1506","73,4667","73,5056","72,7024","-0,43%"
"10.08.2020","73,4667","73,7170","73,9855","73,3683","-0,34%"
"07.08.2020","73,7170","73,2782","73,9062","73,2782","0,60%"
"06.08.2020","73,2782","72,8745","73,5925","72,6925","0,55%"
"05.08.2020","72,8745","73,5325","73,5325","72,6438","-0,89%"
"04.08.2020","73,5325","73,1149","74,0216","72,9505","0,57%"
"03.08.2020","73,1149","74,4114","74,5345","73,1083","-1,74%"
"31.07.2020","74,4114","73,1543","74,4947","73,1543","1,72%"
"30.07.2020","73,1543","72,5810","73,7730","72,5700","0,79%"
"29.07.2020","72,5810","72,5804","72,8590","72,0780","0,00%"
"28.07.2020","72,5804","71,5650","72,6818","71,5650","1,42%"
"27.07.2020","71,5650","71,7290","71,9208","71,4397","-0,23%"
"24.07.2020","71,7290","71,4585","71,9759","71,3555","0,38%"
"23.07.2020","71,4585","71,0675","71,6089","70,8310","0,55%"
"22.07.2020","71,0675","70,7443","71,2835","70,6069","0,46%"
"21.07.2020","70,7443","71,3428","71,3428","70,5414","-0,84%"
"20.07.2020","71,3428","71,8825","72,1097","71,3373","-0,75%"
"17.07.2020","71,8825","71,5920","71,9887","71,5682","0,41%"
"16.07.2020","71,5920","70,9881","71,5929","70,9881","0,85%"
"15.07.2020","70,9881","70,8703","71,1066","70,6640","0,17%"
"14.07.2020","70,8703","70,9912","71,3309","70,8371","-0,17%"
"13.07.2020","70,9912","70,7118","71,0448","70,5137","0,40%"
"10.07.2020","70,7118","70,9414","71,4240","70,6644","-0,32%"
"09.07.2020","70,9414","71,1138","71,1138","70,5065","-0,24%"
"08.07.2020","71,1138","71,4936","71,5591","71,0517","-0,53%"
"07.07.2020","71,4936","71,8276","72,2940","71,2526","-0,47%"
"06.07.2020","71,8276","71,3983","72,0895","70,8085","0,60%"
"03.07.2020","71,3983","70,5747","71,6530","70,3738","1,17%"
"02.07.2020","70,5747","71,1734","71,2000","70,2013","-0,84%"
"30.06.2020","71,1734","69,9980","71,3212","69,9900","1,68%"
"29.06.2020","69,9980","69,7955","70,4323","69,6273","0,29%"
"26.06.2020","69,7955","69,0183","69,9756","69,0183","1,13%"
"25.06.2020","69,0183","68,8651","69,6503","68,8625","0,22%"
"23.06.2020","68,8651","69,1003","69,1039","68,5636","-0,34%"
"22.06.2020","69,1003","69,4460","69,5855","68,9897","-0,50%"
"19.06.2020","69,4460","69,8744","69,8744","69,1917","-0,61%"
"18.06.2020","69,8744","69,7446","69,9680","69,1860","0,19%"
"17.06.2020","69,7446","69,6567","69,8773","69,3810","0,13%"
"16.06.2020","69,6567","69,5536","69,9226","69,2039","0,15%"
"15.06.2020","69,5536","70,2013","70,4949","69,5520","-0,92%"
"11.06.2020","70,2013","68,4949","70,2283","68,4949","2,49%"
"10.06.2020","68,4949","68,5617","68,9157","68,2243","-0,10%"
"09.06.2020","68,5617","68,1966","68,9383","68,1966","0,54%"
"08.06.2020","68,1966","68,6860","68,7000","68,0563","-0,71%"
"05.06.2020","68,6860","69,1601","69,1601","68,2789","-0,69%"
"04.06.2020","69,1601","68,6504","69,5342","68,6504","0,74%"
"03.06.2020","68,6504","68,6754","68,9224","68,2380","-0,04%"
"02.06.2020","68,6754","69,1249","69,1311","68,5882","-0,65%"
"01.06.2020","69,1249","70,1445","70,1445","69,1249","-1,45%"
"29.05.2020","70,1445","70,4928","70,8375","70,1445","-0,49%"
"28.05.2020","70,4928","71,0038","71,1953","70,1452","-0,72%"
"27.05.2020","71,0038","70,7948","71,4505","70,7800","0,30%"
"26.05.2020","70,7948","71,6901","71,6901","70,6225","-1,25%"
"25.05.2020","71,6901","71,6123","71,8328","71,4385","0,11%"
"22.05.2020","71,6123","70,9631","72,0819","70,9625","0,91%"
"21.05.2020","70,9631","71,1180","71,1832","70,6257","-0,22%"
"20.05.2020","71,1180","72,4881","72,4883","71,0886","-1,89%"
"19.05.2020","72,4881","72,6718","72,7206","72,2179","-0,25%"
"18.05.2020","72,6718","73,6160","73,6300","72,6001","-1,28%"
"15.05.2020","73,6160","73,4875","73,8595","73,0439","0,17%"
"14.05.2020","73,4875","73,9290","74,4825","73,4389","-0,60%"
